rank of	rank:80,80,;
fuzzy sets	fuzzy:62,;
for data	for:108,83,88,94,108,;
three types	three:66,;
center which	center:47,47,;
a collection	a:102,102,102,102,;
retrieval environments	retrieval:101,;
along with	along:106,106,;
the result	the:53,60,71,88,93,93,;
is predicted	is:66,;
languages are	languages:82,;
scheme irrelevant	scheme:50,;
and involved	and:90,;
services new	services:58,;
humanities if	humanities:49,49,;
indexing and	indexing:43,43,;
even executives	even:39,;
have research	have:50,;
parallel development	parallel:85,85,;
pushing toward	pushing:58,;
run at	run:85,;
obtained from	obtained:111,;
ability of	ability:59,;
online service	online:89,;
skills of	skills:39,;
technique what	technique:49,;
and inference	and:75,;
approach and	approach:95,95,;
am seeking	am:46,;
document retrieval	document:59,60,61,65,90,96,100,59,60,61,65,90,96,100,;
together use	together:112,;
five set	five:71,;
in databases	in:92,;
involving thresholds	involving:97,;
incolsa it	incolsa:66,66,;
resource have	resource:49,;
problems blocking	problems:47,;
documents to	documents:67,67,;
information field	information:21,24,21,24,;
query these	query:104,;
for researchers	for:70,;
allow a	allow:85,;
system this	system:85,;
lc entry	lc:57,57,57,;
system which	system:33,88,106,108,108,;
time great	time:110,;
be current	be:38,38,;
is converted	is:77,;
system project	system:52,52,;
experiment show	experiment:80,;
the attitude	the:39,;
as provide	as:70,;
a microcomputer	a:94,94,;
and suitable	and:70,70,;
the varying	the:95,;
references or	references:2,;
of greatest	of:101,;
a iteration	a:93,;
or very	or:102,102,;
languages as	languages:88,;
management these	management:110,;
measure whether	measure:105,;
literature analysis	literature:52,55,52,55,;
stem approach	stem:99,99,;
indicated the	indicated:107,;
system we	system:81,;
recall and	recall:59,72,104,106,59,72,104,106,;
rate be	rate:72,;
associated data	associated:83,;
two boolean	two:106,106,;
understand what	understand:43,43,;
utility that	utility:58,;
suggest as	suggest:65,;
term of	term:44,59,73,79,94,104,;
group theory	group:10,10,;
formulation and	formulation:80,80,;
an extension	an:70,;
use or	use:90,;
relation be	relation:52,;
unhelpful physical	unhelpful:64,64,;
major components	major:52,76,;
be greater	be:68,;
is similar	is:90,;
use of	use:5,10,23,39,40,46,53,53,56,65,69,69,69,87,89,92,101,111,111,111,5,10,23,40,46,53,56,65,69,69,69,87,89,92,101,111,111,111,;
means at	means:47,47,;
the subject	the:59,59,;
plural past	plural:67,;
experiments which	experiments:65,;
demonstrate recall	demonstrate:72,;
subsystem as	subsystem:81,81,;
frequency characteristics	frequency:102,102,;
system to	system:52,61,98,52,61,98,;
sets using	sets:86,;
definite author	definite:57,57,;
user orient	user:85,;
facility be	facility:101,;
be create	be:81,87,106,106,106,;
encode automatically	encode:18,;
are either	are:57,;
procedure and	procedure:87,;
for documents	for:61,;
shown comparing	shown:102,;
weighting capability	weighting:95,95,;
a systematic	a:64,64,;
call a	call:73,78,78,;
be capable	be:103,;
on their	on:102,;
input from	input:78,100,78,100,;
only the	only:102,102,;
ability to	ability:59,59,65,59,59,65,;
costs but	costs:89,;
semantic information	semantic:71,71,;
better retrieval	better:60,;
factoring reduce	factoring:78,78,;
technique a	technique:84,84,;
characterise the	characterise:111,111,;
factories and	factories:110,;
and objective	and:55,;
science for	science:53,53,;
set the	set:62,;
be prescribe	be:78,;
matching error	matching:86,86,;
an architectural	an:83,;
the eight	the:80,80,;
rather than	rather:59,70,81,59,70,81,;
reformulation of	reformulation:84,84,;
for similarity	for:86,86,;
interface of	interface:99,;
system response	system:98,;
cite and	cite:60,;
indicates their	indicates:109,;
use to	use:67,68,69,73,84,107,110,111,;
even impossible	even:48,48,;
a rally	a:70,;
based upon	based:71,;
systems coding	systems:19,;
increased usability	increased:99,;
automated micrographs	automated:100,;
from use	from:111,111,;
between document	between:65,68,;
language databases	language:92,;
computer and	computer:6,7,7,;
be formally	be:91,;
classify material	classify:37,;
word root	word:67,;
conditions that	conditions:95,;
lockheed customize	lockheed:66,;
ca is	ca:67,;
skill of	skill:39,;
addition benefit	addition:101,101,;
is proposed	is:80,;
give by	give:90,;
the spoken	the:6,;
and strategies	and:70,;
desirable property	desirable:62,;
of boolean	of:84,84,;
analytic models	analytic:70,;
significance for	significance:45,45,;
to references	to:2,;
method is	method:59,71,71,71,;
provide necessary	provide:38,;
for every	for:71,71,;
service that	service:66,66,;
program use	program:67,;
employ in	employ:84,;
in data	in:7,7,;
been encountered	been:49,53,;
approximate matching	approximate:86,86,86,86,;
scale experiment	scale:93,93,;
previous mechanisms	previous:97,;
construct and	construct:61,61,61,61,;
are related	are:37,;
these systems	these:56,90,;
in factories	in:110,;
suggest approximate	suggest:86,;
retrain of	retrain:39,;
high precision	high:77,77,;
procedure makes	procedure:111,;
an extensive	an:78,;
transform print	transform:4,;
home or	home:66,66,;
satisfy these	satisfy:97,;
occurrence system	occurrence:106,106,;
concerned that	concerned:70,;
text material	text:59,59,;
prevalence measure	prevalence:84,;
basic network	basic:58,58,;
rate as	rate:72,77,77,;
files a	files:73,;
purposes can	purposes:53,;
files e	files:66,;
multiple heterogenous	multiple:99,99,;
look for	look:45,57,;
be devise	be:50,102,;
be involve	be:1,;
readable language	readable:57,57,;
provide a	provide:42,;
further search	further:104,104,;
system that	system:97,;
parser is	parser:75,75,75,;
information about	information:45,65,45,65,;
clearly not	clearly:90,90,;
communication shows	communication:68,;
that state	that:74,;
make use	make:111,;
mathematical models	mathematical:80,;
per employee	per:110,110,;
measurement of	measurement:105,105,;
automatic indexing	automatic:63,102,63,102,;
it looks	it:89,;
narrow in	narrow:70,70,;
english titles	english:77,;
and their	and:60,71,77,81,;
it does	it:75,;
to print	to:89,;
technique supplement	technique:67,;
system of	system:26,38,53,100,53,;
economic aspects	economic:89,;
this definition	this:90,90,;
storage and	storage:42,44,42,44,;
either arrange	either:57,;
technological factors	technological:74,;
retrieval algorithm	retrieval:73,101,73,;
system use	system:102,;
be look	be:45,;
lexically incorrect	lexically:81,81,;
query augument	query:93,;
other organization	other:41,41,;
system or	system:50,;
and integer	and:101,101,;
and cause	and:61,61,;
topic be	topic:90,;
reference success	reference:99,;
keyword dictionary	keyword:107,;
each section	each:67,67,;
collier s	collier:89,89,;
major operating	major:52,52,;
subsystem can	subsystem:81,;
as line	as:90,;
all cases	all:71,;
item be	item:77,;
paper a	paper:65,91,65,;
automation in	automation:45,46,53,45,46,53,;
play the	play:81,;
undertaken an	undertaken:99,;
be argue	be:64,;
as follow	as:80,;
information retrieval	information:5,8,9,10,13,15,16,17,27,38,39,41,42,43,47,47,48,48,48,48,49,49,49,50,51,55,56,68,71,81,82,82,82,94,97,101,101,101,5,8,9,10,13,15,16,17,27,38,39,41,42,43,47,47,48,48,48,48,49,49,49,50,51,55,56,68,71,81,82,82,82,94,97,101,101,101,;
descriptors are	descriptors:73,;
assigned program	assigned:67,;
accruing from	accruing:100,;
expect search	expect:106,;
architectural approach	architectural:83,83,;
term if	term:68,;
various features	various:106,;
interface into	interface:98,98,98,98,;
term is	term:70,;
title against	title:67,67,;
the principle	the:78,;
regard online	regard:89,;
already take	already:110,;
term in	term:62,68,102,102,104,104,111,112,;
as with	as:70,70,;
line distinguishing	line:48,;
human searchers	human:59,;
names and	names:81,;
follow by	follow:94,;
continuous weight	continuous:97,97,;
retrieval stage	retrieval:77,;
practitioners and	practitioners:70,;
were arbitrarily	were:109,;
online and	online:89,89,;
published mathematical	published:80,;
contribution is	contribution:85,;
2 locations	2:109,;
word tell	word:48,;
they cocitation	they:60,;
fulfill a	fulfill:97,97,;
to extract	to:71,71,;
between them	between:58,90,109,;
store in	store:67,;
section the	section:67,;
a measure	a:60,90,90,105,60,90,90,105,;
naturalness of	naturalness:82,82,;
was carried	was:107,;
words were	words:72,;
lc etc	lc:50,50,;
used for	used:38,51,72,;
practices in	practices:36,46,;
tell me	tell:48,;
their usefulness	their:63,;
though several	though:86,86,;
same effectiveness	same:104,104,;
other record	other:46,46,;
the basis	the:62,63,83,62,63,83,;
recent articles	recent:97,;
interaction between	interaction:100,100,;
new and	new:48,48,;
and tested	and:99,;
boundary what	boundary:47,;
training need	training:24,;
a combination	a:100,100,;
symbols used	symbols:38,;
command for	command:98,;
as automated	as:15,;
still yield	still:59,;
run on	run:93,93,;
the basic	the:58,58,;
can become	can:81,81,;
individual look	individual:57,;
it can	it:65,65,65,65,;
automatically draw	automatically:18,;
cross national	cross:47,;
be review	be:58,62,86,;
large datum	large:73,;
allow user	allow:98,;
relation to	relation:23,71,23,71,;
lexical knowledge	lexical:71,71,;
general author	general:32,32,;
the good	the:80,;
the computer	the:53,53,72,53,53,72,;
what study	what:41,;
simple efficient	simple:73,73,;
return in	return:93,;
large information	large:81,81,;
of criteria	of:95,;
the creation	the:81,87,81,87,;
saving the	saving:7,;
pattern recognition	pattern:67,67,;
with some	with:40,40,;
is computed	is:67,;
system 370	system:83,83,;
member of	member:90,;
be base	be:46,71,85,102,;
methods for	methods:12,;
doubtful local	doubtful:93,93,;
between they	between:58,90,109,;
especially distributed	especially:81,;
be approximately	be:104,104,;
structuring syndetic	structuring:69,69,;
of create	of:69,;
emergence of	emergence:74,74,;
of traditional	of:39,62,95,39,62,95,;
more closely	more:76,76,;
current list	current:110,110,;
requires human	requires:59,;
record keep	record:53,;
given by	given:90,;
at their	at:110,;
spelling mistake	spelling:86,86,;
in communication	in:100,;
canadian systems	canadian:92,;
a completely	a:87,89,87,89,;
science information	science:108,108,;
linguistic filter	linguistic:81,81,;
performed extensive	performed:108,;
and assigns	and:67,;
programming method	programming:86,86,;
a much	a:110,110,;
method to	method:59,59,;
their use	their:16,;
the architectures	the:83,83,83,;
to formulate	to:93,93,;
improving and	improving:110,;
word in	word:38,67,67,;
problems inherent	problems:96,;
for searchers	for:99,;
automation on	automation:45,45,;
to they	to:1,;
microfiche catalog	microfiche:87,87,87,87,87,87,;
their component	their:67,71,;
with access	with:70,70,;
the role	the:70,74,81,70,74,81,;
relate to	relate:28,37,62,;
and dislocation	and:39,39,;
a statistical	a:80,107,80,107,;
analysis base	analysis:97,;
present a	present:77,;
of operation	of:81,85,85,;
difficulties are	difficulties:1,;
all have	all:49,49,;
the intercept	the:80,80,;
or entire	or:2,2,;
test environment	test:94,94,;
of present	of:72,72,;
in system	in:38,;
use as	use:63,102,;
a extensive	a:78,;
use at	use:49,;
sections or	sections:67,;
science university	science:107,107,;
costs the	costs:79,;
be briefly	be:86,;
factor affect	factor:74,;
of translate	of:36,;
system do	system:106,;
regarding this	regarding:90,;
been devised	been:50,102,;
term be	term:69,70,102,104,;
topic is	topic:90,;
use be	use:51,94,;
controller the	controller:85,85,;
the same	the:57,60,90,90,104,57,60,90,90,104,;
dictionary the	dictionary:67,71,67,71,;
the paper	the:78,85,90,94,78,85,94,;
which seem	which:97,;
sections of	sections:67,;
large document	large:59,59,;
retrieval question	retrieval:72,72,72,72,;
book indexes	book:59,;
si document	si:91,;
before and	before:58,58,;
common language	common:98,98,;
titles other	titles:91,;
a two	a:85,85,;
future information	future:55,55,;
query recent	query:97,;
user keyword	user:107,107,107,;
the relevant	the:84,102,84,102,;
item in	item:86,86,;
or the	or:56,56,;
ten times	ten:110,;
parse for	parse:77,;
and communications	and:83,;
still such	still:48,48,;
and relate	and:62,;
of databases	of:81,92,92,;
increased dramatically	increased:92,;
single linkage	single:111,111,;
indicate by	indicate:69,;
numbers are	numbers:69,;
for personnel	for:24,24,;
number the	number:57,57,;
the average	the:42,44,42,44,;
processing method	processing:101,;
to that	to:61,;
the value	the:107,107,107,107,;
government support	government:35,;
model knowledge	model:85,;
first group	first:91,91,;
occurrence characteristic	occurrence:102,102,;
overviews of	overviews:91,;
and uses	and:39,71,;
and user	and:70,85,107,70,85,107,;
land generally	land:91,91,;
biases similar	biases:61,;
information have	information:57,;
datum and	datum:70,;
references at	references:67,;
discuss and	discuss:62,;
undertaken by	undertaken:52,;
use by	use:70,70,;
a variety	a:104,104,;
analysis representation	analysis:106,106,;
with people	with:67,;
numbers of	numbers:103,;
classification scheme	classification:50,50,;
international systems	international:25,;
buzz word	buzz:110,;
boundaries border	boundaries:109,;
toward solution	toward:38,;
form without	form:41,41,;
base only	base:60,;
been suggested	been:65,68,86,;
is often	is:48,;
ddc udc	ddc:50,50,;
system if	system:50,;
relationship between	relationship:65,107,109,107,109,;
contribution be	contribution:85,;
contemplate or	contemplate:54,;
systems compared	systems:95,;
respectively 13	respectively:72,72,;
interface as	interface:98,98,;
parse furthermore	parse:75,75,;
what progress	what:40,40,;
correct major	correct:67,67,;
computer procedures	computer:72,;
system it	system:65,75,100,65,75,;
avoided by	avoided:68,;
means to	means:98,98,;
unknown parameter	unknown:80,80,;
increase attention	increase:82,;
system is	system:61,85,85,87,98,;
get finish	get:70,;
was applied	was:93,;
of both	of:46,46,;
system in	system:28,31,63,85,92,99,103,63,85,99,103,;
word be	word:72,;
the first	the:91,91,;
multistate network	multistate:74,;
those state	those:74,;
show that	show:50,62,68,71,79,80,96,99,109,79,96,;
pertaining to	pertaining:90,;
automatically retrieving	automatically:1,;
system medlars	system:55,55,;
that obtain	that:111,;
two measure	two:60,;
of case	of:77,77,;
converge to	converge:95,95,;
scale be	scale:110,;
be deduced	be:80,;
a extension	a:70,;
minicomputer eases	minicomputer:69,;
phrase in	phrase:57,71,57,;
index full	index:106,106,;
cluster have	cluster:65,;
distribution of	distribution:12,12,;
matching methods	matching:19,;
of costs	of:87,;
matter often	matter:90,;
span the	span:109,;
dissemination systems	dissemination:13,15,;
title or	title:57,57,;
rather it	rather:75,75,;
access iida	access:108,108,;
classification phase	classification:67,67,67,67,;
block have	block:40,;
format dictionary	format:63,;
collection finally	collection:102,102,;
the most	the:109,109,;
thereby gathered	thereby:94,;
in systems	in:38,;
were selected	were:72,;
be test	be:37,65,;
evaluation a	evaluation:59,59,;
franklin institute	franklin:108,108,;
have demonstrated	have:72,;
of book	of:23,59,59,;
index can	index:59,;
the more	the:87,102,109,87,102,109,;
contents of	contents:71,71,;
search be	search:63,92,93,108,;
a limited	a:68,68,;
this includes	this:45,;
comparable online	comparable:87,87,;
schools of	schools:109,;
description be	description:83,;
the procedure	the:107,111,112,107,111,112,;
word processing	word:110,110,;
comprehend the	comprehend:42,;
fuzzy request	fuzzy:62,62,;
based only	based:60,;
be term	be:93,;
usl methods	usl:88,;
polytechnic artificial	polytechnic:85,85,;
are not	are:81,;
grouping of	grouping:67,67,;
described for	described:84,112,;
and traces	and:76,;
segment be	segment:85,;
other language	other:8,;
are now	are:58,;
test query	test:59,93,;
contents or	contents:106,106,;
investment in	investment:110,110,110,110,110,110,;
researchers view	researchers:70,;
there for	there:6,9,14,18,6,9,14,18,;
be unnecessary	be:63,63,;
rule satisfy	rule:95,;
uyse of	uyse:68,68,;
compare favourably	compare:84,84,;
the desired	the:97,;
milan polytechnic	milan:85,85,;
established means	established:47,;
time the	time:90,90,90,90,;
of hebrew	of:93,93,;
natural science	natural:49,;
possible applications	possible:55,;
the primary	the:87,87,;
document from	document:68,;
technology have	technology:58,;
of complex	of:78,78,;
each area	each:106,106,;
and every	and:60,60,;
of view	of:82,94,94,;
technique establish	technique:109,;
collier presented	collier:89,;
knowing something	knowing:90,;
be suggest	be:61,65,68,73,84,86,102,;
various important	various:42,42,;
representing documents	representing:112,;
in particular	in:76,102,76,102,;
plan system	plan:7,;
be made	be:93,;
are mostly	are:81,;
management science	management:70,70,70,70,70,70,;
medical diagnosis	medical:14,14,;
also explore	also:74,;
subject phrase	subject:57,57,;
of cooperate	of:78,;
of products	of:69,;
execution of	execution:81,81,;
document information	document:71,71,;
integrated conception	integrated:75,75,;
fragments as	fragments:79,79,;
while retain	while:62,;
translated by	translated:98,;
data from	data:58,;
an abstract	an:106,;
subsequent retrieval	subsequent:84,84,;
and print	and:89,;
in these	in:49,82,;
what purposes	what:53,;
as mathematics	as:48,48,;
the abstract	the:71,71,;
are being	are:54,108,;
a machine	a:103,103,;
is to	is:42,43,75,90,96,;
before it	before:42,42,;
they interrelation	they:81,;
that problem	that:47,;
as substantial	as:71,71,;
or automatic	or:93,93,;
and training	and:24,24,;
the book	the:59,59,;
levels librarians	levels:39,;
to form	to:73,88,73,88,;
automatically match	automatically:18,;
a analysis	a:89,94,;
1979 gthe	1979:109,109,;
appears important	appears:42,;
book rather	book:59,59,;
of name	of:81,;
are done	are:104,;
528 these	528:92,;
candidate thesaurus	candidate:69,69,;
phrase be	phrase:71,;
identification numbers	identification:69,;
comparison only	comparison:68,;
often point	often:85,;
document relevant	document:107,;
be appropriate	be:75,;
length reduction	length:106,106,;
constructed based	constructed:71,;
structure can	structure:90,90,;
deep form	deep:75,;
employed in	employed:84,;
phrase as	phrase:71,;
resolves the	resolves:96,;
in hospital	in:53,;
cocitation datum	cocitation:60,60,;
be distinguish	be:66,;
citing papers	citing:60,;
micrographic retrieval	micrographic:100,100,100,100,;
features of	features:63,106,;
allow the	allow:97,;
and automating	and:110,;
what basic	what:42,42,;
online retrieval	online:91,98,91,98,;
followed by	followed:94,;
scale is	scale:110,;
content also	content:91,91,;
document use	document:67,;
current what	current:38,38,;
predicate governor	predicate:77,77,;
extensive discjussion	extensive:78,78,;
libraries relation	libraries:23,;
service centers	service:58,;
separate component	separate:81,81,;
of which	of:68,68,;
what systems	what:16,;
and correct	and:69,69,;
indexing utilize	indexing:51,;
before be	before:98,;
good retrieval	good:60,;
criterion that	criterion:95,;
that ignore	that:75,;
criterion than	criterion:97,;
solved using	solved:86,;
print programs	print:69,;
permits the	permits:87,103,;
well suited	well:93,93,;
symbol use	symbol:38,;
the name	the:73,91,73,;
do medlars	do:55,;
the single	the:85,111,85,111,;
a major	a:74,95,74,95,;
a set	a:90,90,106,90,90,106,;
generally cited	generally:91,91,;
data streams	data:83,;
seems to	seems:97,;
locations of	locations:109,;
effectiveness obtained	effectiveness:111,;
different approach	different:97,97,;
in experiments	in:61,;
in library	in:23,46,87,89,89,94,87,94,;
into an	into:87,;
since its	since:59,59,;
he language	he:57,;
promising idea	promising:86,;
generalized to	generalized:95,;
improvements are	improvements:93,;
whose relevance	whose:60,60,;
programs of	programs:53,;
researchers practitioners	researchers:70,;
false retrieval	false:72,72,72,72,;
of refles	of:94,94,;
for publishing	for:7,7,;
reproducible measures	reproducible:59,;
description is	description:83,;
for bibliographic	for:87,92,87,92,;
are each	are:68,;
networks that	networks:74,;
298 retrieve	298:91,;
query measurement	query:105,105,;
go to	go:41,;
which a	which:90,95,90,95,;
from two	from:90,90,;
ordinary researcher	ordinary:5,;
do not	do:75,83,106,111,83,;
have they	have:49,49,;
taken two	taken:90,;
organization scheme	organization:41,;
assign program	assign:67,;
stage be	stage:77,;
cross references	cross:67,;
automation be	automation:53,;
mechanism allows	mechanism:97,;
purpose can	purpose:53,;
involves entering	involves:91,;
programs to	programs:69,;
organization can	organization:73,73,;
partly use	partly:71,;
in fields	in:28,;
term has	term:70,;
weight assign	weight:97,;
or replacing	or:93,;
appropriate command	appropriate:98,;
establishes authors	establishes:109,;
information regard	information:89,;
land and	land:91,91,;
consolidation evaluation	consolidation:11,11,;
use for	use:38,50,51,72,50,;
a section	a:67,67,;
experimental use	experimental:87,87,;
for retrieving	for:37,;
test be	test:84,104,107,;
challenging to	challenging:40,;
give document	give:112,;
solutions have	solutions:38,;
cries the	cries:70,;
readily solve	readily:86,;
are other	are:53,;
automate library	automate:15,58,;
bradford s	bradford:80,80,;
test at	test:37,;
of skill	of:48,;
the generation	the:69,69,;
cascade atn	cascade:78,;
recognition techniques	recognition:67,;
datum dictionary	datum:81,;
ever increase	ever:110,;
systems what	systems:5,;
uncertainty this	uncertainty:61,;
called a	called:73,78,;
success be	success:99,;
or technical	or:71,71,;
discuss from	discuss:94,;
paper by	paper:7,;
user to	user:60,97,98,97,;
test under	test:99,;
heuristic technique	heuristic:67,;
to retrieve	to:91,91,;
theory have	theory:102,;
they structure	they:90,;
conducting an	conducting:67,;
frequency simultaneously	frequency:93,93,;
one to	one:44,44,;
be encounter	be:49,53,;
be make	be:38,40,44,47,93,98,;
interdocument comparisons	interdocument:68,;
and control	and:81,81,;
while retaining	while:62,;
segment of	segment:85,;
information requests	information:2,;
paradigm the	paradigm:90,90,;
for some	for:70,70,;
from each	from:109,109,;
in their	in:91,;
arranging material	arranging:41,;
passages from	passages:59,;
base upon	base:71,;
s evaluations	s:60,;
paper be	paper:70,85,90,96,;
every day	every:44,44,;
computerized retrieval	computerized:100,100,;
conception of	conception:75,75,;
papers retrieved	papers:91,;
improved instruction	improved:99,;
capability between	capability:83,83,;
creation procedure	creation:73,;
the dull	the:110,110,;
the ratio	the:80,80,80,80,;
descriptor files	descriptor:73,;
normally believed	normally:102,;
they search	they:59,;
examine the	examine:74,107,107,;
sub set	sub:90,90,;
application processes	application:83,;
which cocitations	which:91,;
search to	search:93,93,;
cluster searching	cluster:65,;
systems we	systems:81,;
and even	and:39,39,;
ways has	ways:47,;
to plan	to:43,43,;
systems may	systems:98,;
construction of	construction:51,71,84,51,71,84,;
a inverted	a:68,112,;
to arbitrarily	to:93,93,;
actual passages	actual:59,;
under controlled	under:99,;
conventional information	conventional:101,101,;
searches are	searches:108,;
queries on	queries:61,;
of finding	of:56,;
we have	we:64,90,64,90,;
would be	would:87,91,87,91,;
and improving	and:70,;
to permit	to:62,62,;
the application	the:63,85,85,;
slope the	slope:80,80,;
difference in	difference:63,;
that with	that:100,100,;
however is	however:110,;
a rate	a:67,67,;
processes are	processes:101,101,;
increase usability	increase:99,;
the topic	the:90,90,;
automate micrograph	automate:100,;
this substitution	this:105,105,;
what attempt	what:44,;
done to	done:41,;
once the	once:64,64,;
a rallying	a:70,;
of datum	of:94,;
journals to	journals:80,;
of toronto	of:74,74,;
to systematic	to:61,61,;
as is	as:75,;
values resolves	values:96,;
terms based	terms:102,;
author tend	author:91,;
they office	they:110,;
establish author	establish:109,;
developments in	developments:96,;
results and	results:85,;
wln this	wln:74,74,;
naive and	naive:61,61,;
speculations on	speculations:94,;
to determine	to:106,106,;
by automating	by:110,;
purposes in	purposes:102,;
agency or	agency:47,47,;
conclude the	conclude:94,94,;
answering system	answering:88,;
s with	s:78,78,;
book in	book:23,;
be modified	be:56,;
fragments to	fragments:79,;
approach the	approach:70,;
semantic network	semantic:90,90,;
and trace	and:76,;
best fit	best:80,;
takes into	takes:60,;
retrieval service	retrieval:72,101,;
network of	network:90,98,90,98,;
of terms	of:37,102,112,;
one of	one:80,80,;
data transmission	data:83,;
locate who	locate:48,;
and periodicals	and:30,;
inability to	inability:95,95,;
work contains	work:89,;
by manager	by:70,;
journal the	journal:80,;
certain paper	certain:91,;
retrieval process	retrieval:101,101,;
integration of	integration:81,81,;
inc the	inc:74,74,;
rank respectively	rank:80,80,;
print format	print:63,;
already knowing	already:90,;
trees are	trees:104,;
which play	which:81,;
be overviews	be:91,;
land would	land:91,91,;
conventional frequency	conventional:102,102,;
10 falsely	10:72,72,;
usability of	usability:99,99,;
and list	and:38,;
five types	five:80,;
readable form	readable:69,69,;
searches and	searches:65,;
extract from	extract:104,;
will effect	will:68,68,;
done on	done:104,;
retrieval experiment	retrieval:65,;
for increased	for:99,;
micrographs devices	micrographs:100,;
have recently	have:68,;
government supported	government:35,;
evaluations of	evaluations:60,85,;
for compare	for:112,;
opposed to	opposed:2,83,102,106,;
for find	for:86,;
its advantages	its:82,;
draw online	draw:109,;
finding and	finding:59,59,;
automatic medical	automatic:14,14,;
seem misleadingly	seem:89,;
have this	have:47,;
legality controller	legality:85,85,;
describe research	describe:43,;
ca be	ca:67,;
scientific and	scientific:44,44,;
search strategy	search:59,99,99,;
the deep	the:75,;
queries in	queries:79,;
places that	places:78,;
was created	was:106,;
view dss	view:70,70,;
communication via	communication:6,6,;
this network	this:74,;
method be	method:18,59,71,71,71,79,101,102,;
expect they	expect:91,;
about concept	about:71,;
for lawyer	for:72,;
searchers furthermore	searchers:99,;
performance the	performance:59,59,;
for concepts	for:90,;
translation what	translation:40,40,;
prototype system	prototype:87,94,87,94,;
and investment	and:110,110,;
rate in	rate:77,77,;
the specification	the:77,77,;
actual applications	actual:88,;
for estimate	for:102,;
more service	more:66,;
generate from	generate:104,;
subject areas	subject:49,49,106,;
be similar	be:90,;
log rank	log:80,80,;
of effort	of:41,41,;
the users	the:98,;
present reference	present:72,72,;
suitability of	suitability:106,106,;
in some	in:90,90,;
physical sciences	physical:31,;
references success	references:99,;
conception and	conception:85,85,;
this include	this:45,;
however be	however:110,;
say to	say:48,;
all of	all:68,112,68,112,;
view information	view:82,;
and likelihoods	and:86,;
database suggest	database:80,;
looks only	looks:89,;
in passage	in:72,72,;
single segment	single:85,;
set concept	set:62,62,;
a patron	a:62,62,;
network in	network:76,;
possibilities for	possibilities:24,;
be transformed	be:98,;
results error	results:88,;
identified and	identified:63,;
automation affect	automation:45,45,;
method using	method:80,;
it circumvent	it:59,;
and possibly	and:109,109,;
communication show	communication:68,;
files is	files:73,;
undertake a	undertake:99,;
of journal	of:80,80,;
searching their	searching:63,;
know the	know:59,;
programs for	programs:76,;
success of	success:74,74,;
as an	as:65,70,73,95,106,109,;
herein be	herein:83,;
center for	center:69,69,;
contain in	contain:92,94,;
search it	search:99,;
search in	search:51,65,65,;
common feature	common:63,;
in automated	in:57,;
298 retrieved	298:91,;
is quoted	is:110,;
worth it	worth:15,15,;
seem likely	seem:91,;
have concern	have:98,;
be build	be:99,;
cry the	cry:70,;
paper whose	paper:60,;
automation offering	automation:83,;
origins of	origins:76,;
weights each	weights:90,;
hope that	hope:81,81,;
as be	as:75,110,;
the conclusions	the:85,;
automatically transforming	automatically:4,;
at store	at:38,;
how automation	how:45,45,;
online mode	online:89,89,;
a index	a:51,73,105,105,106,;
of key	of:58,;
searchonym via	searchonym:93,;
user be	user:99,;
paper overall	paper:60,;
121 paper	121:91,;
and data	and:70,70,87,94,;
they overall	they:102,;
sna for	sna:83,83,;
can actually	can:2,2,;
these biases	these:61,61,;
rate of	rate:67,67,;
analysis i	analysis:90,90,;
permit a	permit:62,78,62,78,;
some hypothetical	some:89,89,;
exchange of	exchange:47,85,47,85,;
query solicit	query:106,;
document via	document:107,;
integrated with	integrated:91,;
give to	give:63,76,79,98,101,;
are doubtful	are:93,;
the function	the:77,77,;
analysis assumes	analysis:109,;
byproduct articles	byproduct:7,;
enlarging or	enlarging:85,;
catalog system	catalog:87,87,;
extended in	extended:18,;
keeping purposes	keeping:53,;
computer system	computer:87,108,87,108,;
online search	online:63,92,63,;
late 1960	late:76,;
master interface	master:99,99,;
calculated for	calculated:60,;
investment on	investment:110,110,;
all in	all:49,49,;
cluster which	cluster:111,;
for five	for:71,71,;
which such	which:97,97,;
consensus regarding	consensus:90,;
devise that	devise:102,;
library which	library:46,54,46,54,;
specifically describe	specifically:83,;
the progress	the:39,39,;
of knowledge	of:50,50,;
proposed a	proposed:80,;
list must	list:38,;
processes and	processes:46,;
matrices limits	matrices:93,;
and organizations	and:110,;
yield absolute	yield:59,59,;
interdocument comparison	interdocument:68,;
is based	is:71,85,;
that indicates	that:109,;
by use	by:65,;
simply mean	simply:70,70,;
program performance	program:67,67,;
produce searchonym	produce:93,;
searcher furthermore	searcher:99,;
an initial	an:84,111,;
keeping examples	keeping:46,;
results are	results:102,;
file the	file:111,111,;
that papers	that:91,;
such area	such:46,;
inefficiently a	inefficiently:61,61,;
data would	data:91,;
in automatic	in:112,112,;
the algorithm	the:112,112,;
c b	c:80,80,;
distance from	distance:109,;
field that	field:48,48,;
medlars project	medlars:52,52,;
tenses and	tenses:67,;
cluster of	cluster:68,;
shall show	shall:96,96,;
the newer	the:39,;
working and	working:7,;
those areas	those:109,;
prescribe catn	prescribe:78,;
are formally	are:91,;
allows an	allows:85,;
functional distributed	functional:103,;
together the	together:109,109,;
institute s	institute:108,108,;
performance evaluations	performance:85,;
such system	such:62,97,;
six pair	six:91,;
